Month,L,M,S
0,-0.0631,13.3363,0.09272
1,0.3448,14.5679,0.09556
2,0.1749,15.7679,0.09371
3,0.0643,16.3574,0.09254
4,-0.0191,16.6703,0.09166
5,-0.0864,16.8386,0.09096
6,-0.1429,16.9083,0.09036
7,-0.1916,16.902,0.08984
8,-0.2344,16.8404,0.08939
9,-0.2725,16.7406,0.08898
10,-0.3068,16.6184,0.08861
11,-0.3381,16.4875,0.08828
12,-0.3667,16.3568,0.08797
13,-0.3932,16.2311,0.08768
14,-0.4177,16.1128,0.08741
15,-0.4407,16.0028,0.08716
16,-0.4623,15.9017,0.08693
17,-0.4825,15.8096,0.08671
18,-0.5017,15.7263,0.0865
19,-0.5199,15.6517,0.0863
20,-0.5372,15.5855,0.08612
21,-0.5537,15.5278,0.08594
22,-0.5695,15.4787,0.08577
23,-0.5846,15.438,0.0856
24,-0.5989,15.4052,0.08545
25,-0.5684,15.659,0.08452
26,-0.5684,15.6308,0.08449
27,-0.5684,15.6037,0.08446
28,-0.5684,15.5777,0.08444
29,-0.5684,15.5523,0.08443
30,-0.5684,15.5276,0.08444
31,-0.5684,15.5034,0.08448
32,-0.5684,15.4798,0.08455
33,-0.5684,15.4572,0.08467
34,-0.5684,15.4356,0.08484
35,-0.5684,15.4155,0.08506
36,-0.5684,15.3968,0.08535
37,-0.5684,15.3796,0.08569
38,-0.5684,15.3638,0.08609
39,-0.5684,15.3493,0.08654
40,-0.5684,15.3358,0.08704
41,-0.5684,15.3233,0.08757
42,-0.5684,15.3116,0.08813
43,-0.5684,15.3007,0.08872
44,-0.5684,15.2905,0.08931
45,-0.5684,15.2814,0.08991
46,-0.5684,15.2732,0.09051
47,-0.5684,15.2661,0.0911
48,-0.5684,15.2602,0.09168
49,-0.5684,15.2556,0.09227
50,-0.5684,15.2523,0.09286
51,-0.5684,15.2503,0.09345
52,-0.5684,15.2496,0.09403
53,-0.5684,15.2502,0.0946
54,-0.5684,15.2519,0.09515
55,-0.5684,15.2544,0.09568
56,-0.5684,15.2575,0.09618
57,-0.5684,15.2612,0.09665
58,-0.5684,15.2653,0.09709
59,-0.5684,15.2698,0.0975
60,-0.5684,15.2747,0.09789
